query graph:0    data graph:0
============================================================
(0, 91) (1, 105) (2, 31) (3, 86) (4, 186) 
(0, 91) (1, 105) (2, 31) (3, 408) (4, 85) 
(0, 91) (1, 105) (2, 31) (3, 408) (4, 186) 
(0, 91) (1, 105) (2, 31) (3, 913) (4, 85) 
(0, 91) (1, 105) (2, 31) (3, 913) (4, 186) 
(0, 91) (1, 187) (2, 31) (3, 41) (4, 85) 
(0, 91) (1, 187) (2, 31) (3, 41) (4, 186) 
(0, 91) (1, 187) (2, 31) (3, 166) (4, 85) 
(0, 91) (1, 187) (2, 31) (3, 166) (4, 186) 
(0, 91) (1, 187) (2, 31) (3, 408) (4, 85) 
(0, 91) (1, 187) (2, 31) (3, 408) (4, 186) 
(0, 91) (1, 187) (2, 31) (3, 410) (4, 85) 
(0, 91) (1, 187) (2, 31) (3, 410) (4, 186) 
(0, 91) (1, 885) (2, 31) (3, 0) (4, 85) 
(0, 91) (1, 885) (2, 31) (3, 0) (4, 186) 
(0, 91) (1, 885) (2, 31) (3, 14) (4, 85) 
(0, 91) (1, 885) (2, 31) (3, 14) (4, 186) 
(0, 91) (1, 885) (2, 31) (3, 50) (4, 85) 
(0, 91) (1, 885) (2, 31) (3, 50) (4, 186) 
(0, 91) (1, 885) (2, 31) (3, 55) (4, 85) 
(0, 91) (1, 885) (2, 31) (3, 55) (4, 186) 
(0, 91) (1, 885) (2, 31) (3, 166) (4, 85) 
(0, 91) (1, 885) (2, 31) (3, 166) (4, 186) 
(0, 91) (1, 885) (2, 31) (3, 410) (4, 85) 
(0, 91) (1, 885) (2, 31) (3, 410) (4, 186) 
(0, 113) (1, 38) (2, 31) (3, 14) (4, 44) 
(0, 113) (1, 38) (2, 31) (3, 14) (4, 118) 
(0, 113) (1, 38) (2, 31) (3, 14) (4, 1117) 
(0, 113) (1, 38) (2, 31) (3, 41) (4, 44) 
(0, 113) (1, 38) (2, 31) (3, 41) (4, 118) 
(0, 113) (1, 38) (2, 31) (3, 41) (4, 1117) 
(0, 113) (1, 38) (2, 31) (3, 55) (4, 44) 
(0, 113) (1, 38) (2, 31) (3, 55) (4, 118) 
(0, 113) (1, 38) (2, 31) (3, 55) (4, 1117) 
(0, 113) (1, 38) (2, 31) (3, 68) (4, 44) 
(0, 113) (1, 38) (2, 31) (3, 68) (4, 118) 
(0, 113) (1, 38) (2, 31) (3, 68) (4, 1117) 
(0, 113) (1, 38) (2, 31) (3, 408) (4, 44) 
(0, 113) (1, 38) (2, 31) (3, 408) (4, 118) 
(0, 113) (1, 38) (2, 31) (3, 408) (4, 1117) 
(0, 113) (1, 38) (2, 31) (3, 913) (4, 44) 
(0, 113) (1, 38) (2, 31) (3, 913) (4, 118) 
(0, 113) (1, 38) (2, 31) (3, 913) (4, 1117) 
(0, 113) (1, 59) (2, 31) (3, 41) (4, 44) 
(0, 113) (1, 59) (2, 31) (3, 41) (4, 118) 
(0, 113) (1, 59) (2, 31) (3, 41) (4, 1117) 
(0, 113) (1, 59) (2, 31) (3, 408) (4, 44) 
(0, 113) (1, 59) (2, 31) (3, 408) (4, 118) 
(0, 113) (1, 59) (2, 31) (3, 408) (4, 1117) 
(0, 120) (1, 105) (2, 31) (3, 0) (4, 44) 
(0, 120) (1, 105) (2, 31) (3, 0) (4, 118) 
(0, 120) (1, 105) (2, 31) (3, 14) (4, 44) 
(0, 120) (1, 105) (2, 31) (3, 14) (4, 118) 
(0, 120) (1, 105) (2, 31) (3, 50) (4, 44) 
(0, 120) (1, 105) (2, 31) (3, 50) (4, 118) 
(0, 120) (1, 105) (2, 31) (3, 86) (4, 44) 
(0, 120) (1, 105) (2, 31) (3, 86) (4, 118) 
(0, 120) (1, 105) (2, 31) (3, 408) (4, 44) 
(0, 120) (1, 105) (2, 31) (3, 408) (4, 118) 
(0, 120) (1, 105) (2, 31) (3, 913) (4, 44) 
(0, 120) (1, 105) (2, 31) (3, 913) (4, 118) 
(0, 356) (1, 105) (2, 31) (3, 0) (4, 169) 
(0, 356) (1, 105) (2, 31) (3, 14) (4, 169) 
(0, 356) (1, 105) (2, 31) (3, 50) (4, 169) 
(0, 356) (1, 105) (2, 31) (3, 86) (4, 169) 
(0, 356) (1, 105) (2, 31) (3, 408) (4, 169) 
(0, 356) (1, 105) (2, 31) (3, 913) (4, 169) 
(0, 363) (1, 105) (2, 31) (3, 0) (4, 44) 
(0, 363) (1, 105) (2, 31) (3, 0) (4, 371) 
(0, 363) (1, 105) (2, 31) (3, 14) (4, 44) 
(0, 363) (1, 105) (2, 31) (3, 14) (4, 371) 
(0, 363) (1, 105) (2, 31) (3, 50) (4, 44) 
(0, 363) (1, 105) (2, 31) (3, 50) (4, 371) 
(0, 363) (1, 105) (2, 31) (3, 86) (4, 44) 
(0, 363) (1, 105) (2, 31) (3, 86) (4, 371) 
(0, 363) (1, 105) (2, 31) (3, 408) (4, 44) 
(0, 363) (1, 105) (2, 31) (3, 408) (4, 371) 
(0, 363) (1, 105) (2, 31) (3, 913) (4, 44) 
(0, 363) (1, 105) (2, 31) (3, 913) (4, 371) 
(0, 16) (1, 42) (2, 32) (3, 14) (4, 1117) 
(0, 16) (1, 42) (2, 32) (3, 55) (4, 1117) 
(0, 16) (1, 42) (2, 32) (3, 1262) (4, 1117) 
(0, 16) (1, 52) (2, 32) (3, 408) (4, 1117) 
(0, 16) (1, 52) (2, 32) (3, 1093) (4, 1117) 
